                                                                                                                                                                                                                                                                               ,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
record_id,clinical,,text,Record ID,,,,,,,,,,,,
local_identifier,clinical,,text,Local Identifier,,Sample identifier as allocated by the group contributing the sample.,,,,,,y,,,,
date_last_collection,clinical,,text,Date of last data collection,,Most recent data that information was collected that has been used to complete the form.<br>Use 01 (Jan) as month or 01 as day if said information is missing.,date_ymd,,,,,y,,,,
sex,clinical,,dropdown,Sex,"1, Male | 2, Female | 998, Unknown | 995, Other",,,,,,,y,,,,
referring_center,clinical,,dropdown,Referral center,"1, Agincourt | 2, Baylor | 3, Bologna | 38, Boston|  4, Catanzaro | 5, CENet | 6, Columbia | 7, Cyprus | 8, Danish | 9, Dublin | 10, Duke | 11, EPGP | 12, European Consortium | 13, Finland: Kalviainen | 14, HEP | 15, Hong Kong | 16, Ifakara | 17, Iganga | 18, Imperial - Liverpool | 19, Japan: Fukuoka | 20, Kilifi | 21, Kintampo | 22, Latino | 23, Lithuania | 24, Lyon | 25, Macedonia | 26, Malaysia | 27, Melbourne: Austin | 35, Melbourne: RMH | 28, Milan | 29, Montreal: Andermann | 30, Mount Sinai | 31, NYU | 32, Paris: Auvin | 33, Philadelphia | 34, RIKEN Institute | 36, Toronto | 37, Wales",,,,,,,y,,,,
clinician_dataentry,clinical,,text,Person completing form,,,,,,,,y,,,,
clinician_responsible,clinical,,text,Clinician responsible for data,,,,,,,,y,,,,
hispanic_status,clinical,,radio,Hispanic/Latino status,"1, Hispanic or Latino origin | 2, Not of Hispanic or Latino origin | 998, Unknown | 4, Not reported",,,,,,,,,,,
ethnicity,clinical,,checkbox,Ethnicity,"1, Native Hawaiian/other Pacific Islander | 2, Chinese | 3, Japanese | 4, Asian Other | 5, Black or African American | 6, Western European | 7, Eastern European | 8, Hispanic | 9, French Canadian | 10, Ashkenazi Jewish | 11, Sephardic Jewish | 12, Caucasian other, please specify | 13, Other/mixed ethnicities, please specify | 998, Unknown",,,,,,,,,,,
ethnicity_comments,clinical,,text,Ethnicity comments,,,,,,,,,,,,
yob,clinical,,text,Year of birth,,,integer,1900,2020,,,y,,,,
deceased,clinical,,dropdown,Patient deceased,"2, No|998, Unknown|1, Yes (SUDEP)|3, Yes (Other epilepsy related - status epilepticus, trauma)|6, Yes (Death unrelated to epilepsy)|9, Yes (Unknown causes)",,,,,,,,,,,
gestational_age_known,clinical,Birth details and antecedents,dropdown,Gestational Age,"1, Known| 998, Unknown",,,,,,,,,,,
gestational_age,clinical,,text,Gestational age at birth (weeks) if known,,,,,,,[gestational_age_known]=1,,,,,
head_circumference_known,clinical,,dropdown,Head circumference at birth,"1, Known| 998, Unknown",,,,,,,,,,,
head_circumference,clinical,,text,Head circumference at birth (cm) if known,,,,,,,[head_circumference_known]=1,,,,,
birth_weight_known,clinical,,dropdown,Birth weight,"1, Known|2, Small for gestational age| 998, Unknown",,,,,,,,,,,
birth_weight,clinical,,text,Birth Weight (grams) if known,,,,,,,[birth_weight_known]=1,,,,,
head_trauma,clinical,,dropdown,"Head trauma with skull fracture, intracranial bleeding ","1, Yes | 2, No | 998, Unknown",,,,,,,,,,,
cns_infection,clinical,,dropdown,CNS infection,"1, Yes | 2, No | 998, Unknown",,,,,,,,,,,
neonatal_seizures,clinical,,dropdown,Neonatal seizures,"1, Yes | 2, No | 998, Unknown",,,,,,,,,,,
normal_neonatal_period,clinical,,dropdown,Normal neonatal period (other than seizures),"1, Yes | 2, No | 998, Unknown",,,,,,,,,,,
neonatal_comments,clinical,,notes,Neonatal period comments,,,,,,,,,,,,
head_size,clinical,Other features,dropdown,Head size,"1, Normal|2,Large| 4, Small|998, Unknown",,,,,,,,,,,
tone,clinical,,dropdown,Tone,"1, Hypotonic|4, Hypertonic| 2, Normal|998, Unknown",,,,,,,,,,,
dysmorphic,clinical,,dropdown,Dysmorphic,"1, Yes, please specify | 2, No | 998, Unknown",,,,,,,,,,,
dysmorphic_comment,clinical,,notes,Dysmorphic features comments,,,,,,,[dysmorphic]=1,,,,,
