Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,clinical,,text,Record ID,,,,,,,,,,,,,
local_identifier,clinical,,text,Local Identifier,,Sample identifier as allocated by the group contributing the sample.,,,,,,,,,,,
date_last_collection,clinical,,text,Date of last data collection,,Most recent date that information was collected that has been used to complete the form.<br> Enter Jan or 01 of month or day are not known respectively.,,,,,,,,,,,
sex,clinical,,dropdown,Sex,"1, Male | 2, Female | 3, Unknown | 4, Other",,,,,,,,,,,,
referring_center,clinical,,dropdown,Referral center,"1, Agincourt | 2, Baylor | 3, Bologna | 4, Catanzaro | 5, CENet | 6, Columbia | 7, Cyprus | 8, Danish | 9, Dublin | 10, Duke | 11, EPGP | 12, European Consortium | 13, Finland: Kalviainen | 14, HEP | 15, Hong Kong | 16, Ifakara | 17, Iganga | 18, Imperial - Liverpool | 19, Japan: Fukuoka | 20, Kilifi | 21, Kintampo | 22, Latino | 23, Lithuania | 24, Lyon | 25, Macedonia | 26, Malaysia | 27, Melbourne: Austin | 35, Melbourne: RMH | 28, Milan | 29, Montreal: Andermann | 30, Mount Sinai | 31, NYU | 32, Paris: Auvin | 33, Philadelphia | 34, RIKEN Institute",Source of sample and clinical data to be selected from list.,,,,,,,,,,,
clinician_dataentry,clinical,,text,Person completing form,,Clinician or researcher completing the form.,,,,,,,,,,,
clinician_responsible,clinical,,text,Clinician responsible for data,,(should this be a drop down?),,,,,,,,,,,
ethnicity,clinical,,checkbox,Ethnicity,"1, Native Hawaiian/other Pacific Islander | 2, Chinese | 3, Japanese | 4, Asian Other | 5, Black or African American | 6, Western European | 7, Eastern European | 8, Hispanic | 9, French Canadian | 10, Ashkenazi Jewish | 11, Sephardic Jewish | 12, Caucasian other, please specify | 13, Other/mixed ethnicities, please specify | 14, Unknown",,,,,,,,,,,,
ethnicity_comments,clinical,,text,Ethnicity comments,,,,,,,,,,,,,
yob,clinical,,text,Year of birth,,,integer,1900,2020,,,,,,,,
age_first_seizure,clinical,,text,Age at first seizure,,of any type,integer,0,100,,,,,,,,
deceased,clinical,,dropdown,Patient deceased,"1, Yes | 2, No | 3, Unknown",,,,,,,,,,,,
febrile_seizures,clinical,Seizure Types,radio,Febrile seizures,"1, Yes | 2, No | 3, Unknown",,,,,,,,,,seizuretypes,,
aura_seizures,clinical,,radio,Aura (simple partial),"1, Yes | 2, No | 3, Unknown",,,,,,,,,,seizuretypes,,
dyscognitive_seizures,clinical,,radio,Focal dyscognitive (complex partial),"1, Yes | 2, No | 3, Unknown",,,,,,,,,,seizuretypes,,
bilateral_seizures,clinical,,radio,Bilateral convulsive,"1, Yes | 2, No | 3, Unknown",,,,,,,,,,seizuretypes,,
other_seizures,clinical,,radio,"Focal other seizure types, please specify","1, Yes | 2, No | 3, Unknown",,,,,,,,,,seizuretypes,,
other_seizures_specify,clinical,,text,Other seizure types comments,,,,,,,[other_seizures]=1,,,,,,
febclassic_seizures,clinical,Febrile seizures,dropdown,Classical febrile seizures,"1, Yes | 2, No | 3, Unknown",,,,,,[febrile_seizures]=1,,,,,,
febclassic_age_last,clinical,,text,Age at last occurrence (classic febrile),,if available,integer,0,100,,[febclassic_seizures]=1,,,,,,Classic febrile seizures
febclassic_age_onset,clinical,,text,Age at first occurrence (classic febrile),,if available,integer,0,100,,[febclassic_seizures]=1,,,,,,Classical febrile seizures
febprov_seizures,clinical,,dropdown,Other seizures provoked by fever,"1, Yes | 2, No | 3, Unknown",,,,,,[febrile_seizures]=1,,,,,,
febprov_age_onset,clinical,,text,Age at first occurrence of fever provoked seizures,,if available,integer,0,100,,[febprov_seizures]=1,,,,,,
febprov_age_last,clinical,,text,Age at last occurrence of fever provoked seizures,,if available,integer,0,100,,[febprov_seizures]=1,,,,,,
febrile_age_onset,clinical,Age of onset,text,Age at first occurrence (febrile),,if available,integer,0,100,,[febrile_seizures]=1,,,,,,
aura_age_onset,clinical,,text,Age at first occurrence (aura),,if available,integer,0,100,,[aura_seizures]=1,,,,,,
dyscognitive_age_onset,clinical,,text,Age at first occurrence (dyscognitive),,if available,integer,0,100,,[dyscognitive_seizures]=1,,,,,,
bilateral_age_onset,clinical,,text,Age at first occurrence (bilateral),,if available,integer,0,100,,[bilateral_seizures]=1,,,,,,
other_age_onset,clinical,,text,Age at first occurrence (other),,if available,integer,0,100,,[other_seizures]=1,,,,,,
febrile_age_last,clinical,Age of last occurrence,text,Age at last occurrence (febrile),,if available,integer,0,100,,[febrile_seizures]=1,,,,,,
aura_age_last,clinical,,text,Age at last occurrence (aura),,if available,integer,0,100,,[aura_seizures]=1,,,,,,
